Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
14521,Wandarwa Beba,"",PAPUA,Kab. SUPIORI,"",,"-0.7483333333333333,135.47055555555556"
14040,Pepaya,"",PAPUA,Kab. NABIRE,"",,"-3.215277777777778,135.08083333333332"
14504,Ruber,"",PAPUA,Kab. SUPIORI,"",,"-0.7502777777777778,135.46729638888888"
14287,Padaidori,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1536752777777777,136.6076772222222"
14365,Aruri,"",PAPUA,Kab. SUPIORI,"",,"-0.8863888888888889,135.4452777777778"
14522,Wandarwa Kasun,"",PAPUA,Kab. SUPIORI,"",,"-0.7474999999999999,135.47194444444446"
14148,Pakemi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4841666666666666,135.01166666666666"
14265,Maidurip,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1955555555555555,136.15555555555557"
14451,Kredori Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.6610858333333334,135.59021472222224"
14408,Fani Beba,"",PAPUA,Kab. SUPIORI,"",,"-0.6402777777777777,135.35972222222222"
14121,Kornu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7016016666666667,135.666855"
14485,Mrap Kasun Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.6622652777777778,135.44482805555555"
14275,Nggun Oser Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-0.7855555555555556,135.93722222222223"
14173,Urampi Kaitui,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9756597222222223,136.39029083333332"
14374,Beba Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.8269888888888889,135.49099999999999"
14166,Taba Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6766666666666665,135.54805555555555"
14108,Kandari Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.756388888888889,135.78916666666666"
13997,Misrow,"",PAPUA,Kab. JAYAPURA,"",,"-2.3230555555555554,140.14444444444445"
14313,Ureb,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2916616666666665,136.37975861111113"
14516,Sosbari,"",PAPUA,Kab. SUPIORI,"",,"-0.795,135.52027777777778"
14151,Peiapi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9021166666666667,136.31731722222221"
14077,Awanuap,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8958333333333333,136.51666666666668"
14296,Rarsbari,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.255128888888889,136.31577361111113"
