Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8479,Lemo,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.088888888888889,122.77472222222222"
8337,Mandike,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.66388888888889,122.40444444444445"
8377,Ruarua,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.906533333333334,122.76722222222222"
8617,Sawa,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.784166666666667,123.86916666666666"
8555,Labolusu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.4750000000000005,123.7761111111111"
8351,Mongkeluno Utara,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885558888888888,122.74383138888889"
8657,Watuto Tolu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.470833333333333,123.68916666666667"
8444,Labuani,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.658611111111111,122.74027777777778"
8292,Kontumodea,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.86104,122.735"
8406,Wakata Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.954033333333333,122.76128333333334"
8286,Kodadarano Barat,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885277777777778,122.75722222222223"
8539,Hotoue,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.354722222222222,123.53194444444445"
8354,Moteterano Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.952222222222223,122.7625"
8224,Lemo,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-4.119742499999999,121.47978"
8565,Lameboi,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.586111111111111,123.83083333333333"
8289,Kogholifano,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9719444444444445,122.79027777777777"
8721,Tukohmasigi,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4725,122.48277777777778"
8552,Kololampu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.426111111111111,123.60333333333332"
8310,Lasaido Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.860555555555555,122.735"
8357,Motongkano,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.898055555555555,122.7625"
