Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
747,Tagaga,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","0.05388888888888889,98.21416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/747
748,Tagawa Sideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.3352777777777778,98.50777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/748
672,Biang,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","0.0575,98.23444444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/672
749,Tagawa Sebua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.3372222222222222,98.51194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/749
673,Bintuang,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.10527777777777779,98.22444444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/673
750,Tanabala,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.41500000000000004,98.4413888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/750
674,Boji,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","0.6147222222222222,98.505",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/674
675,Buni,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - Pulau Batu,"","-0.061111111111111116,98.32472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/675
752,Tanahmasa,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.14583333333333334,98.43972222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/752
676,Bunijikho,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.06472222222222222,98.46277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/676
753,Tareba Sebua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.07055555555555555,98.59916666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/753
677,Gabaya,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.07472222222222222,98.35972222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/677
754,Tareba Seideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.06611111111111112,98.61055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/754
678,Hachina,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.05583333333333334,98.32555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/678
679,Hayo,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - Pulau Batu,"","-0.0961111111111111,98.26166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/679
756,Telotelo Sebua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.21416666666666667,98.38666666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/756
680,Hibao Sebua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.45611111111111113,98.51611111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/680
681,Hibao Sideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.4608333333333333,98.51916666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/681
758,Telotelo Sideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.19694444444444442,98.37277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/758
682,Horasa,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.49722222222222223,98.5213888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/682
