Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
6889,Bahomoiri,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.2719444444444443,122.43333333333334"
7761,Putoabu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47014833333333333,121.69655361111111"
7022,Senomadilau,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.1377777777777776,122.62194444444444"
7838,Tokogondi,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.42444444444444446,121.98722222222223"
7243,Noulas,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.538611111111111,122.78277777777778"
7860,Tubbor,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.46944444444444444,121.69416666666667"
6929,Harapan,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.298611111111111,122.38361111111112"
7172,Kuweang,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.3180555555555555,123.21944444444445"
7843,Tondongi Empat,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5189752777777779,121.66677305555557"
7852,Topu Kecil,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4736111111111111,121.68972222222223"
7686,Mogo Kecil,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4241666666666667,122.01361111111112"
7501,Delapan Tujuh,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.28444444444444444,122.31527777777778"
7870,Uaenggo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47708833333333334,121.69584361111112"
7641,Loe,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.2822222222222222,122.23666666666666"
7249,Palupalubarat Doibundu,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4244444444444446,123.28916666666666"
6919,Dampi  Toko,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.918611111111111,121.415"
6854,Solando Besar,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","1.3294444444444444,120.7911111111111"
7742,Payaha,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5025,121.845"
6935,Kallo,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.3102777777777774,122.40444444444445"
7596,Kayomeriraya Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4191666666666667,121.76944444444445"
6962,Langala,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-2.81494,122.18323611111111"
7237,Motilmomeng,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4516666666666667,123.26"
6917,Burung,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-2.8813219444444447,122.21722805555555"
7830,Tingaru Timur,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.34055555555555556,121.88193138888889"
7575,Kasojo Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4261111111111111,121.80527777777777"
7461,Boe,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4827777777777778,121.69164833333333"
6762,Manuk Togong,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.5686111111111111,122.58916666666666"
7719,Palantoh,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4275,122.11638888888888"
7693,Ngak Empat,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5036111111111111,121.76361111111112"
7363,Toropot Pauno,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9916255555555555,123.48008194444445"
7549,Kabalo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4013888888888889,121.7975"
6823,Bole,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","1.0775,120.66416666666667"
7569,Karama,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4297222222222222,122.08333333333333"
7314,Tadunomatanga,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.7147222222222223,123.59805555555555"
6881,Allo,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.9333333333333333,121.33138888888888"
7637,Lindo Tiga,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5041666666666667,121.73583333333333"
7133,Doikendek Selatan Togong,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.557777777777778,123.56194444444444"
6773,Tangkuladi,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.6063888888888889,123.335"
7574,Karina,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.33555555555555555,121.89750000000001"
7670,Mmbo Apo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4310338888888889,122.06913361111111"
7166,Kokudang Pauno,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9133333333333333,123.67222222222223"
7333,Tetapen,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.3283333333333334,123.11805555555554"
6842,Pamanukang,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","1.083888888888889,120.6863888888889"
7026,Stagal,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.220277777777778,122.63305555555554"
7741,Patoyanpo Tujuh,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4477777777777778,121.755"
7516,Dulla,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4386111111111111,122.09472222222222"
7685,Mogo Besar,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4336111111111111,122.01916666666666"
